Account,Positive,Negative,Followers,Link,Notes
mudabersuara.id,V,,37.8k,https://www.instagram.com/mudabersuara.id/,
heru_photography,V,,"40,1k",https://www.instagram.com/heru_photography?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,"Mostly positive about Anies, and there are lots of the contents are about him."
relawan.muhaimin.peduli,V,,19.9k,https://www.instagram.com/relawan.muhaimin.peduli?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
mediaindonesia,V,,623k,https://www.instagram.com/mediaindonesia/,"Rarely post about other candidate, always positive about Anies."
kabar.1indonesia,V,,"85,6k",https://www.instagram.com/kabar.1ndonesia/,"If the content about Anies, it’s positive. But if it's about another paslon, it's negative"
aniesupdate,V,,125k,https://www.instagram.com/aniesupdate/,"Lots of post are about Anies, and the content style are like they're super fans for anies."
menangbersamajkw,,V,"12,7k",https://www.instagram.com/menangbersamajkw?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,"The posts are about all the candidate, but if it' about Anies, then the caption will be kinda negative."
gerakan.amin,V,,2781,https://www.instagram.com/gerakan.amin?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
infoperubahan,V,,344,https://www.instagram.com/infoperubahan?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,The captions always positive about Anies
amincyber2024,V,,32,https://www.instagram.com/amincyber2024?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
tretanamin2024,V,,315,https://www.instagram.com/tretanamin2024?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,"Ethnic base, support from madurans ethnic group"
sayyid.snw,V,,5.744,https://www.instagram.com/sayyid.snw?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,"Always full positive to anies, there are lots of post about it."
iqpolitik,,V,6.676,https://www.instagram.com/iqpolitik?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==," The bio is neutral, but lots of contents are negative towards Anies"
sekberairlangga,,,6.179,https://www.instagram.com/sekberairlangga?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
buka_mata2024,,,51,https://www.instagram.com/buka_mata2024?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
pemilubersih_2024,,,"48,1k",https://www.instagram.com/pemilubersih_2024?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,So negative to Prabowo
satuimpresicom,V,V,"10,9k",https://www.instagram.com/satuimpresicom?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,There are positive and negative post about Anies
hiburan._mata,V,V,4137,https://www.instagram.com/hiburan._mata?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==," The contents isn't that much, but there are positive and negative post about anies"
aniesbaswedan_ri1,V,,"29,1k",https://www.instagram.com/aniesbaswedan_ri1?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,fanbase
itslatifina,V,,"51,6k",https://www.instagram.com/itslatifina?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
lambe_amin,V,,"17,9",https://www.instagram.com/lambe_amin?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
chozin.id,V,,"12,5",https://www.instagram.com/chozin.id?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,the contents that they post are fully about Anies
payunganiesofficial2022,V,,436,https://www.instagram.com/payunganiesofficial2022?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,elder women volunteer
pedjuang_podcast,V,,1850,https://www.instagram.com/pedjuang_podcast?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
ubahbareng,V,,"90,6k",https://www.instagram.com/ubahbareng?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
iqribmedia,V,,4.449,,lots of the contents are pro towards Anies
heriirwanharis,,,"13,9k",https://www.instagram.com/heriirwanharis?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
bandung.nokkn,,,157,https://www.instagram.com/bandung.nokkn?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
camilanpedas.idn,V,,"83,8k",,
anies_untuk_indonesia,V,,"27,1",https://www.instagram.com/anies_untuk_indonesia?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
gerakan_perubahan_,V,,2.246,https://www.instagram.com/gerakan_perubahan_?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
relawananiesbw,V,,"45,6k",https://www.instagram.com/relawananiesbw?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
mudamudiamin,V,,1332,https://www.instagram.com/mudamudiamin?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
mutiarabaswedan,V,,209k,https://www.instagram.com/mutiarabaswedan?utm_source=ig_web_button_share_sheet&igsh=OGQ5ZDc2ODk2ZA==,
